Date,Close,Open,High,Low,Volumn,Percent Change
12/1/2021,"1,549.81","1,536.67","1,549.81","1,531.20",0.18M,0.79%
11/30/2021,"1,537.59","1,567.44","1,568.09","1,531.82",0.25M,-0.99%
11/29/2021,"1,553.04","1,541.22","1,558.86","1,541.22",0.27M,-0.86%
11/26/2021,"1,566.55","1,576.52","1,587.00","1,564.39",0.29M,-0.38%
11/25/2021,"1,572.46","1,573.29","1,579.56","1,567.67",0.26M,0.46%
11/24/2021,"1,565.29","1,534.87","1,567.77","1,530.61",0.37M,2.10%
11/23/2021,"1,533.12","1,518.39","1,533.12","1,513.23",0.17M,1.06%
11/22/2021,"1,517.04","1,503.19","1,530.43","1,502.25",0.27M,1.13%
11/19/2021,"1,500.05","1,507.45","1,521.63","1,486.59",0.32M,-0.22%
11/18/2021,"1,503.42","1,522.39","1,523.19","1,503.42",0.26M,-1.06%
11/17/2021,"1,519.58","1,517.67","1,522.50","1,513.65",0.17M,0.16%
11/16/2021,"1,517.22","1,527.11","1,530.32","1,513.50",0.21M,-0.75%
11/15/2021,"1,528.68","1,534.16","1,534.44","1,521.94",0.23M,0.05%
11/12/2021,"1,527.94","1,514.96","1,529.47","1,504.52",0.15M,0.90%
11/11/2021,"1,514.36","1,524.73","1,526.72","1,503.77",0.26M,-0.62%
11/10/2021,"1,523.79","1,530.69","1,531.70","1,518.89",0.20M,-0.22%
11/9/2021,"1,527.13","1,539.25","1,542.75","1,524.36",0.21M,-0.56%
11/8/2021,"1,535.66","1,535.12","1,541.83","1,528.71",0.22M,0.25%
11/5/2021,"1,531.76","1,531.06","1,536.47","1,523.16",0.16M,0.23%
11/4/2021,"1,528.21","1,531.92","1,535.90","1,524.54",0.17M,-0.16%
11/3/2021,"1,530.65","1,526.38","1,537.59","1,519.39",0.32M,0.61%
11/2/2021,"1,521.35","1,514.91","1,522.90","1,514.75",0.19M,0.30%
11/1/2021,"1,516.75","1,534.17","1,534.88","1,513.98",0.25M,-1.02%
10/29/2021,"1,532.35","1,529.42","1,534.51","1,521.04",0.20M,0.20%
10/28/2021,"1,529.26","1,522.11","1,530.77","1,513.12",0.19M,0.84%
10/27/2021,"1,516.46","1,487.45","1,516.46","1,485.12",0.20M,2.28%
10/26/2021,"1,482.62","1,474.36","1,483.65","1,467.02",0.14M,0.38%
10/25/2021,"1,476.97","1,492.35","1,492.35","1,476.97",0.20M,-0.79%
10/22/2021,"1,488.71","1,495.32","1,498.25","1,486.57",0.13M,-0.04%
10/21/2021,"1,489.26","1,509.05","1,510.20","1,489.26",0.17M,-1.05%
10/20/2021,"1,505.03","1,510.38","1,516.74","1,486.26",0.18M,-0.14%
10/19/2021,"1,507.19","1,512.10","1,513.83","1,503.89",0.14M,-0.22%
10/18/2021,"1,510.49","1,508.88","1,517.70","1,505.39",0.17M,0.38%
10/15/2021,"1,504.84","1,508.37","1,512.61","1,499.70",0.15M,0.10%
10/14/2021,"1,503.38","1,504.85","1,511.14","1,498.21",0.16M,-0.14%
10/13/2021,"1,505.55","1,512.73","1,519.11","1,502.19",0.14M,-0.27%
10/12/2021,"1,509.57","1,514.78","1,517.21","1,504.24",0.16M,-0.05%
10/11/2021,"1,510.27","1,481.29","1,511.21","1,480.31",0.21M,2.28%
10/8/2021,"1,476.54","1,466.78","1,476.54","1,463.07",0.14M,0.94%
10/7/2021,"1,462.74","1,467.95","1,470.64","1,460.87",0.14M,0.07%
10/6/2021,"1,461.72","1,461.98","1,461.98","1,453.78",0.16M,0.38%
10/5/2021,"1,456.21","1,446.77","1,456.37","1,444.49",0.15M,0.87%
10/4/2021,"1,443.61","1,442.87","1,446.78","1,433.05",0.22M,0.12%
10/1/2021,"1,441.83","1,450.90","1,453.24","1,438.52",0.19M,-0.82%
9/30/2021,"1,453.76","1,450.52","1,461.94","1,452.55",0.12M,0.22%
9/29/2021,"1,450.52","1,450.73","1,453.66","1,440.55",0.17M,-0.04%
9/28/2021,"1,451.12","1,433.70","1,454.79","1,430.89",0.14M,0.83%
9/27/2021,"1,439.20","1,462.86","1,464.50","1,439.20",0.15M,-1.42%
9/24/2021,"1,459.94","1,460.63","1,464.12","1,456.89",0.14M,0.12%
9/23/2021,"1,458.23","1,456.46","1,466.00","1,453.02",0.14M,0.34%
9/22/2021,"1,453.22","1,449.44","1,454.19","1,440.02",0.12M,0.48%
9/21/2021,"1,446.22","1,444.75","1,455.71","1,433.77",0.17M,-0.85%
9/20/2021,"1,458.66","1,468.11","1,474.66","1,454.95",0.18M,0.21%
9/17/2021,"1,455.59","1,452.31","1,459.94","1,451.38",0.19M,0.46%
9/16/2021,"1,448.98","1,452.89","1,454.23","1,442.77",0.13M,0.29%
9/15/2021,"1,444.85","1,433.17","1,447.64","1,432.76",0.13M,0.47%
9/14/2021,"1,438.16","1,444.24","1,448.71","1,436.98",0.15M,-0.47%
9/13/2021,"1,444.99","1,450.00","1,454.72","1,444.71",0.16M,-0.23%
9/10/2021,"1,448.33","1,451.78","1,453.81","1,447.44",0.14M,0.07%
9/9/2021,"1,447.28","1,432.84","1,449.16","1,431.55",0.17M,0.95%
9/8/2021,"1,433.71","1,447.43","1,448.44","1,431.38",0.15M,-0.72%
9/7/2021,"1,444.10","1,446.00","1,454.82","1,441.69",0.21M,0.18%
9/6/2021,"1,441.54","1,433.03","1,441.92","1,429.55",0.21M,1.02%
9/1/2021,"1,426.94","1,425.35","1,434.73","1,423.08",0.18M,-0.12%
8/31/2021,"1,428.66","1,435.52","1,437.38","1,425.71",0.15M,-0.17%
8/30/2021,"1,431.05","1,427.48","1,434.25","1,420.77",0.15M,0.88%
8/27/2021,"1,418.57","1,403.99","1,418.57","1,391.88",0.20M,0.43%
