Date,Close,Open,High,Low,Volumn,Percent Change
25/04/2022,"1,366.39","1,444.79","1,445.62","1,356.36",202426300,-5.40%
22/04/2022,"1,444.32","1,439.32","1,455.15","1,419.05",150755100,1.22%
21/04/2022,"1,426.87","1,434.77","1,452.41","1,422.70",172358900,-0.60%
20/04/2022,"1,435.50","1,440.90","1,453.81","1,434.87",150221600,-0.35%
19/04/2022,"1,440.61","1,471.63","1,478.50","1,440.61",156620100,-1.88%
18/04/2022,"1,468.25","1,493.17","1,493.24","1,466.73",194441900,-1.71%
15/04/2022,"1,493.74","1,514.89","1,518.85","1,491.26",181765300,-1.60%
14/04/2022,"1,518.01","1,526.49","1,534.28","1,517.07",119609300,-0.48%
13/04/2022,"1,525.39","1,512.37","1,526.44","1,506.45",143871600,1.21%
12/4/2022,"1,507.20","1,530.30","1,532.03","1,506.41",152481700,-1.12%
8/4/2022,"1,524.31","1,541.78","1,547.60","1,524.31",156336400,-1.14%
7/4/2022,"1,541.96","1,561.14","1,566.09","1,541.96",198966000,-0.97%
6/4/2022,"1,557.11","1,534.23","1,558.41","1,529.23",203573500,1.16%
5/4/2022,"1,539.20","1,544.34","1,549.77","1,539.20",125174200,-0.57%
4/4/2022,"1,548.04","1,558.21","1,558.98","1,546.46",160184300,0.36%
1/4/2022,"1,542.47","1,509.01","1,542.47","1,506.11",195611900,2.25%
31/03/2022,"1,508.53","1,502.38","1,512.47","1,500.67",121691400,0.55%
30/03/2022,"1,500.23","1,497.98","1,513.91","1,496.59",163897200,-0.02%
29/03/2022,"1,500.57","1,484.95","1,501.05","1,484.95",110331000,1.11%
28/03/2022,"1,484.16","1,493.12","1,497.06","1,477.72",177240800,-0.95%
25/03/2022,"1,498.36","1,499.34","1,503.18","1,494.28",109442400,0.06%
24/03/2022,"1,497.44","1,506.49","1,506.79","1,496.96",115640400,-0.54%
23/03/2022,"1,505.59","1,514.61","1,519.58","1,505.59",132331300,-0.52%
22/03/2022,"1,513.40","1,507.38","1,516.70","1,506.10",155225300,0.71%
21/03/2022,"1,502.67","1,480.29","1,502.67","1,480.29",124702300,1.74%
18/03/2022,"1,476.94","1,474.02","1,482.96","1,474.02",148418800,0.48%
17/03/2022,"1,469.92","1,480.32","1,480.86","1,469.92",109378100,-0.19%
16/03/2022,"1,472.69","1,475.17","1,478.42","1,467.95",106836400,0.26%
15/03/2022,"1,468.89","1,461.40","1,469.52","1,455.16",136415100,0.53%
14/03/2022,"1,461.10","1,471.44","1,473.98","1,454.34",177210100,-1.09%
11/3/2022,"1,477.14","1,487.92","1,490.83","1,469.22",178186800,-0.88%
10/3/2022,"1,490.24","1,491.90","1,505.50","1,490.24",148748300,0.07%
9/3/2022,"1,489.25","1,493.96","1,497.75","1,485.15",190158600,-0.06%
8/3/2022,"1,490.17","1,500.07","1,506.65","1,486.68",222308000,-1.26%
7/3/2022,"1,509.12","1,514.76","1,518.32","1,505.79",222534800,-1.06%
4/3/2022,"1,525.34","1,525.23","1,529.93","1,519.97",220071600,0.19%
3/3/2022,"1,522.49","1,507.53","1,522.49","1,502.41",244078000,1.59%
2/3/2022,"1,498.61","1,516.31","1,517.49","1,495.16",291452900,-1.42%
1/3/2022,"1,520.12","1,521.44","1,525.00","1,515.49",187030700,0.19%
28/02/2022,"1,517.18","1,525.58","1,533.32","1,512.45",193571200,-0.61%
25/02/2022,"1,526.50","1,531.97","1,540.13","1,526.50",198105100,0.29%
24/02/2022,"1,522.04","1,537.50","1,540.13","1,503.22",275311400,-1.09%
23/02/2022,"1,538.83","1,536.60","1,547.19","1,534.19",158142200,0.42%
22/02/2022,"1,532.36","1,532.07","1,532.36","1,510.07",223625500,-0.07%
21/02/2022,"1,533.40","1,530.65","1,537.56","1,522.48",163183400,0.13%
18/02/2022,"1,531.47","1,525.21","1,533.53","1,523.88",155104600,-0.59%
17/02/2022,"1,540.51","1,521.37","1,540.51","1,521.37",146568200,1.25%
16/02/2022,"1,521.47","1,534.39","1,534.50","1,517.52",122057100,-0.39%
15/02/2022,"1,527.36","1,508.25","1,530.04","1,506.69",180952200,1.48%
14/02/2022,"1,505.07","1,530.50","1,536.77","1,505.07",254064100,-2.64%
11/2/2022,"1,545.92","1,544.76","1,549.37","1,540.50",167675800,-0.20%
10/2/2022,"1,548.95","1,554.98","1,557.89","1,536.02",225002900,-0.22%
9/2/2022,"1,552.44","1,554.59","1,570.32","1,552.44",230550700,0.13%
8/2/2022,"1,550.46","1,539.49","1,555.01","1,537.16",218959100,0.60%
7/2/2022,"1,541.25","1,548.38","1,555.01","1,541.25",182867100,0.59%
28/01/2022,"1,532.24","1,516.40","1,535.57","1,515.85",194567300,1.03%
27/01/2022,"1,516.57","1,520.82","1,528.81","1,507.26",158584300,-0.57%
26/01/2022,"1,525.31","1,519.90","1,533.61","1,516.96",236863500,0.60%
25/01/2022,"1,516.16","1,471.56","1,516.16","1,466.07",191549000,3.05%
24/01/2022,"1,471.31","1,496.36","1,499.22","1,465.76",243478300,-2.05%
21/01/2022,"1,502.16","1,497.61","1,508.65","1,492.21",218982600,0.63%
20/01/2022,"1,492.81","1,479.81","1,499.47","1,474.67",163721300,0.69%
19/01/2022,"1,482.55","1,479.74","1,491.00","1,475.06",142261000,0.37%
18/01/2022,"1,477.06","1,473.04","1,489.13","1,464.41",214017600,-0.10%
17/01/2022,"1,478.61","1,523.17","1,529.28","1,478.61",290137800,-2.95%
14/01/2022,"1,523.57","1,523.96","1,530.20","1,513.17",135949400,-0.19%
13/01/2022,"1,526.43","1,533.38","1,548.49","1,524.66",308816900,-0.24%
12/1/2022,"1,530.04","1,498.63","1,530.04","1,484.93",282093000,2.02%
11/1/2022,"1,499.74","1,516.74","1,519.84","1,497.78",187023400,-0.99%
10/1/2022,"1,514.70","1,531.13","1,537.71","1,514.70",200034100,-1.14%
7/1/2022,"1,532.24","1,548.77","1,550.47","1,532.24",951525400,-0.82%
6/1/2022,"1,544.95","1,542.34","1,554.97","1,541.19",231961100,-0.07%
5/1/2022,"1,546.01","1,559.33","1,562.93","1,546.01",222221200,-0.82%
4/1/2022,"1,558.87","1,536.45","1,562.54","1,536.45",207489800,1.51%
31/12/2021,"1,535.71","1,523.58","1,537.32","1,523.41",183408500,1.06%
30/12/2021,"1,519.62","1,515.75","1,526.20","1,515.75",145697200,0.24%
29/12/2021,"1,515.94","1,525.82","1,528.90","1,515.94",154782700,-0.50%
28/12/2021,"1,523.54","1,518.56","1,523.54","1,509.58",189418700,0.59%
27/12/2021,"1,514.55","1,515.24","1,517.45","1,500.31",134565900,0.52%
24/12/2021,"1,506.67","1,484.51","1,507.48","1,481.37",197961200,1.98%
23/12/2021,"1,477.37","1,504.61","1,506.43","1,470.94",241493800,-1.78%
22/12/2021,"1,504.12","1,514.98","1,519.74","1,498.96",220183200,-0.49%
21/12/2021,"1,511.48","1,512.01","1,517.69","1,507.89",175784000,-0.14%
20/12/2021,"1,513.60","1,519.69","1,521.62","1,509.54",180132400,0.00%
17/12/2021,"1,513.56","1,513.36","1,520.97","1,511.19",220350000,0.22%
16/12/2021,"1,510.17","1,526.63","1,526.75","1,501.41",187576000,-0.61%
15/12/2021,"1,519.42","1,516.91","1,525.14","1,512.05",150689400,0.20%
14/12/2021,"1,516.44","1,518.39","1,529.93","1,513.14",170665700,-0.29%
13/12/2021,"1,520.80","1,523.74","1,526.53","1,517.98",166213200,0.09%
10/12/2021,"1,519.46","1,528.17","1,533.23","1,517.59",172565800,-0.66%
9/12/2021,"1,529.61","1,509.40","1,529.61","1,509.40",141320100,0.89%
8/12/2021,"1,516.16","1,515.59","1,523.95","1,508.69",176054000,0.23%
7/12/2021,"1,512.62","1,493.07","1,512.62","1,488.13",167560600,2.14%
6/12/2021,"1,480.92","1,507.45","1,515.47","1,464.91",264304900,-1.53%
3/12/2021,"1,503.98","1,550.81","1,551.97","1,503.98",237844400,-2.39%
2/12/2021,"1,540.88","1,553.21","1,555.49","1,540.88",155692100,-0.58%
1/12/2021,"1,549.81","1,536.67","1,549.81","1,531.20",183018700,0.79%
30/11/2021,"1,537.59","1,567.44","1,568.09","1,531.82",254246000,-0.99%
29/11/2021,"1,553.04","1,541.22","1,558.86","1,541.22",270835200,-0.86%
26/11/2021,"1,566.55","1,576.52","1,587.00","1,564.39",286506800,-0.38%
25/11/2021,"1,572.46","1,573.29","1,579.56","1,567.67",255689400,0.46%
24/11/2021,"1,565.29","1,534.87","1,567.77","1,530.61",371792500,2.10%
23/11/2021,"1,533.12","1,518.39","1,533.12","1,513.23",173026700,1.06%
22/11/2021,"1,517.04","1,503.19","1,530.43","1,502.25",274789700,1.13%
19/11/2021,"1,500.05","1,507.45","1,521.63","1,486.59",322630600,-0.22%
18/11/2021,"1,503.42","1,522.39","1,523.19","1,503.42",256828300,-1.06%
17/11/2021,"1,519.58","1,517.67","1,522.50","1,513.65",165538300,0.16%
16/11/2021,"1,517.22","1,527.11","1,530.32","1,513.50",214948000,-0.75%
15/11/2021,"1,528.68","1,534.16","1,534.44","1,521.94",232161500,0.05%
12/11/2021,"1,527.94","1,514.96","1,529.47","1,504.52",152556600,0.90%
11/11/2021,"1,514.36","1,524.73","1,526.72","1,503.77",258427300,-0.62%
10/11/2021,"1,523.79","1,530.69","1,531.70","1,518.89",204461200,-0.22%
9/11/2021,"1,527.13","1,539.25","1,542.75","1,524.36",210505900,-0.56%
8/11/2021,"1,535.66","1,535.12","1,541.83","1,528.71",219015500,0.25%
5/11/2021,"1,531.76","1,531.06","1,536.47","1,523.16",156544900,0.23%
4/11/2021,"1,528.21","1,531.92","1,535.90","1,524.54",173097200,-0.16%
3/11/2021,"1,530.65","1,526.38","1,537.59","1,519.39",324556200,0.61%
2/11/2021,"1,521.35","1,514.91","1,522.90","1,514.75",186412200,0.30%
1/11/2021,"1,516.75","1,534.17","1,534.88","1,513.98",252416300,-1.02%
29/10/2021,"1,532.35","1,529.42","1,534.51","1,521.04",197579000,0.20%
28/10/2021,"1,529.26","1,522.11","1,530.77","1,513.12",190779100,0.84%
27/10/2021,"1,516.46","1,487.45","1,516.46","1,485.12",201353000,2.28%
26/10/2021,"1,482.62","1,474.36","1,483.65","1,467.02",143685900,0.38%
25/10/2021,"1,476.97","1,492.35","1,492.35","1,476.97",202649000,-0.79%
22/10/2021,"1,488.71","1,495.32","1,498.25","1,486.57",127282900,-0.04%
21/10/2021,"1,489.26","1,509.05","1,510.20","1,489.26",166371200,-1.05%
20/10/2021,"1,505.03","1,510.38","1,516.74","1,486.26",182022000,-0.14%
19/10/2021,"1,507.19","1,512.10","1,513.83","1,503.89",142509300,-0.22%
18/10/2021,"1,510.49","1,508.88","1,517.70","1,505.39",167733700,0.38%
15/10/2021,"1,504.84","1,508.37","1,512.61","1,499.70",151731800,0.10%
14/10/2021,"1,503.38","1,504.85","1,511.14","1,498.21",159952700,-0.14%
13/10/2021,"1,505.55","1,512.73","1,519.11","1,502.19",137277800,-0.27%
12/10/2021,"1,509.57","1,514.78","1,517.21","1,504.24",162655700,-0.05%
11/10/2021,"1,510.27","1,481.29","1,511.21","1,480.31",211043700,2.28%
8/10/2021,"1,476.54","1,466.78","1,476.54","1,463.07",137767900,0.94%
7/10/2021,"1,462.74","1,467.95","1,470.64","1,460.87",142851700,0.07%
6/10/2021,"1,461.72","1,461.98","1,461.98","1,453.78",575444400,0.38%
5/10/2021,"1,456.21","1,446.77","1,456.37","1,444.49",152940400,0.87%
4/10/2021,"1,443.61","1,442.87","1,446.78","1,433.05",220195000,0.12%
1/10/2021,"1,441.83","1,450.90","1,453.24","1,438.52",188812300,-0.82%
30/09/2021,"1,453.76","1,450.52","1,461.94","1,452.55",118787000,0.22%
29/09/2021,"1,450.52","1,450.73","1,453.66","1,440.55",169808300,-0.04%
28/09/2021,"1,451.12","1,433.70","1,454.79","1,430.89",141163200,0.83%
27/09/2021,"1,439.20","1,462.86","1,464.50","1,439.20",148690000,-1.42%
24/09/2021,"1,459.94","1,460.63","1,464.12","1,456.89",141119100,0.12%
23/09/2021,"1,458.23","1,456.46","1,466.00","1,453.02",138284900,0.34%
